Fuel,Fire_Size_kW,Fuel_Flow_Time_s,Temperature_C,X_Fuel,X_O2,X_CO2,X_CO,X_H2O,X_N2
Methane,25.0,360,127.314102564103,0.138903197005597,0.0877030321760929,0.0386471771039609,0.00313252368470253,0.0915185299650119,0.640095540064635
Methane,25.0,390,122.839777777778,0.158437295464012,0.0816805172653167,0.0390031535730578,0.00373866994585375,0.0937493801939745,0.623390983557786
Methane,25.0,420,120.160101010101,0.196476335244315,0.0761070089895851,0.038132439637169,0.00351825206020722,0.091014474449822,0.594751489618901
Methane,25.0,450,118.212486772487,0.179137653435174,0.0790019832266476,0.0385750251646355,0.00321093838176998,0.0929744023255118,0.607099997466261
Methane,37.5,225,176.528888888889,0.0694365536150977,0.0862337277375689,0.0438208630783292,0.00523676604994689,0.109972087048885,0.685300002470173
Methane,37.5,240,176.923015873016,0.187742212281701,0.0442892410271559,0.0491000780706011,0.00783519366432455,0.12920332819896,0.581829946757257
Methane,37.5,285,142.474722222222,0.168245566301417,0.0681194192287714,0.0429271067797868,0.00500878082564496,0.106495337505256,0.609203789359123
Methane,37.5,300,159.833071895425,0.245535025935979,0.0501613180073953,0.0424168899517355,0.0065690903642674,0.108861289787654,0.546456385952969
Propane,25.0,210,205.164444444444,0.0387723822948277,0.0680286345646032,0.0656526797200559,0.00859898683376318,0.111762207545195,0.707185109041555
Propane,25.0,240,200.819595959596,0.0412393580150365,0.0424657412509109,0.0757469384853278,0.0107441835664646,0.137154968629472,0.692648810052788
Propane,25.0,285,158.930888888889,0.0382025103949089,0.0940129228727038,0.0503347843910438,0.00610029867062291,0.0950572940051145,0.716292189665606
Propane,25.0,300,170.329415204678,0.0404801981606021,0.0516500024563227,0.0721848602610942,0.0101562479799978,0.127216831240288,0.698311859901695
Propane,16.7,255,185.855,0.0253041422449884,0.0823031079150864,0.0625892725213023,0.00491306703442841,0.0994803723587647,0.72541003792543
Propane,16.7,270,192.554074074074,0.0324580038984647,0.0523007512210079,0.07588317746775,0.00732057206684334,0.125407915197442,0.706629580148492
Propane,16.7,300,177.420925925926,0.0345481252923461,0.0463978860814548,0.0784759435084811,0.00777127663939471,0.130240688008272,0.702566080470051
Propane,16.7,315,166.713777777778,0.0328814164913256,0.0946841875421811,0.055510341815872,0.00433721068720473,0.0873099368772083,0.725276906586208
Propene,25.0,210,194.794222222222,0.0245067373668166,0.0926350700547132,0.0638386606690697,0.00653380599163911,0.0772041665425442,0.735281559375217
Propene,25.0,240,184.992777777778,0.0321000210857944,0.0696699453009687,0.0760452972476837,0.007801743919229,0.0916487850861417,0.722734207360183
Propene,25.0,270,170.144166666667,0.0330581590217864,0.077375706039352,0.071702563465955,0.00723729129166408,0.0858171435665074,0.724809136614735
